,x,y,z,j0,j1,j2,j3,j4,j5
2626,0.08461526,0.12551649,0.105980461,-0.535474256,-0.10743057,0.247333342,0.244705248,-0.018813826,-0.000528024
2627,0.08461526,0.12551649,0.105980461,-0.535474256,-0.10743057,0.247333342,0.244705248,-0.018813826,-0.000528024
2628,0.08461526,0.12551649,0.105980461,-0.535474256,-0.10743057,0.247333342,0.244705248,-0.018813826,-0.000528024
2629,0.08461526,0.12551649,0.105980461,-0.535474256,-0.10743057,0.247333342,0.244705248,-0.018813826,-0.000528024
2630,0.08461526,0.12551649,0.105980461,-0.535474256,-0.10743057,0.247333342,0.244705248,-0.018813826,-0.000528024
2631,0.084025558,0.125588569,0.105532569,-0.531868787,-0.107136206,0.245374194,0.242934058,-0.018708853,-0.000528798
2632,0.084025558,0.125588569,0.105532569,-0.531868787,-0.107136206,0.245374194,0.242934058,-0.018708853,-0.000528798
2633,0.084025558,0.125588569,0.105532569,-0.531868787,-0.107136206,0.245374194,0.242934058,-0.018708853,-0.000528798
2634,0.084025558,0.125588569,0.105532569,-0.531868787,-0.107136206,0.245374194,0.242934058,-0.018708853,-0.000528798
2635,0.084025558,0.125588569,0.105532569,-0.531868787,-0.107136206,0.245374194,0.242934058,-0.018708853,-0.000528798
2636,0.083436866,0.12565815,0.105086294,-0.528265366,-0.106833518,0.243420551,0.241174087,-0.018604552,-0.000529571
2637,0.083436866,0.12565815,0.105086294,-0.528265366,-0.106833518,0.243420551,0.241174087,-0.018604552,-0.000529571
2638,0.083436866,0.12565815,0.105086294,-0.528265366,-0.106833518,0.243420551,0.241174087,-0.018604552,-0.000529571
2639,0.083436866,0.12565815,0.105086294,-0.528265366,-0.106833518,0.243420551,0.241174087,-0.018604552,-0.000529571
2640,0.083436866,0.12565815,0.105086294,-0.528265366,-0.106833518,0.243420551,0.241174087,-0.018604552,-0.000529571
2641,0.082849136,0.125725236,0.104641456,-0.52466371,-0.106522067,0.241471821,0.239424994,-0.018500904,-0.000530344
2642,0.082849136,0.125725236,0.104641456,-0.52466371,-0.106522067,0.241471821,0.239424994,-0.018500904,-0.000530344
2643,0.082849136,0.125725236,0.104641456,-0.52466371,-0.106522067,0.241471821,0.239424994,-0.018500904,-0.000530344
2644,0.082849136,0.125725236,0.104641456,-0.52466371,-0.106522067,0.241471821,0.239424994,-0.018500904,-0.000530344
2645,0.082849136,0.125725236,0.104641456,-0.52466371,-0.106522067,0.241471821,0.239424994,-0.018500904,-0.000530344
2646,0.082849136,0.125725236,0.104641456,-0.52466371,-0.106522067,0.241471821,0.239424994,-0.018500904,-0.000530344
2647,0.082256192,0.125789685,0.10418823,-0.521028557,-0.106181291,0.239492706,0.237662118,-0.018396376,-0.000531116
2648,0.082256192,0.125789685,0.10418823,-0.521028557,-0.106181291,0.239492706,0.237662118,-0.018396376,-0.000531116
2649,0.082256192,0.125789685,0.10418823,-0.521028557,-0.106181291,0.239492706,0.237662118,-0.018396376,-0.000531116
2650,0.082256192,0.125789685,0.10418823,-0.521028557,-0.106181291,0.239492706,0.237662118,-0.018396376,-0.000531116
2651,0.082256192,0.125789685,0.10418823,-0.521028557,-0.106181291,0.239492706,0.237662118,-0.018396376,-0.000531116
2652,0.081664566,0.125851659,0.103737386,-0.517396843,-0.105834004,0.237521553,0.235912031,-0.018292618,-0.000531887
2653,0.081664566,0.125851659,0.103737386,-0.517396843,-0.105834004,0.237521553,0.235912031,-0.018292618,-0.000531887
2654,0.081664566,0.125851659,0.103737386,-0.517396843,-0.105834004,0.237521553,0.235912031,-0.018292618,-0.000531887
2655,0.081664566,0.125851659,0.103737386,-0.517396843,-0.105834004,0.237521553,0.235912031,-0.018292618,-0.000531887
2656,0.081664566,0.125851659,0.103737386,-0.517396843,-0.105834004,0.237521553,0.235912031,-0.018292618,-0.000531887
2657,0.081074188,0.125911156,0.103288647,-0.513768173,-0.105479517,0.235557472,0.234174229,-0.018189601,-0.000532659
2658,0.081074188,0.125911156,0.103288647,-0.513768173,-0.105479517,0.235557472,0.234174229,-0.018189601,-0.000532659
2659,0.081074188,0.125911156,0.103288647,-0.513768173,-0.105479517,0.235557472,0.234174229,-0.018189601,-0.000532659
2660,0.081074188,0.125911156,0.103288647,-0.513768173,-0.105479517,0.235557472,0.234174229,-0.018189601,-0.000532659
2661,0.081074188,0.125911156,0.103288647,-0.513768173,-0.105479517,0.235557472,0.234174229,-0.018189601,-0.000532659
2662,0.080484995,0.125968178,0.102841774,-0.510142174,-0.105117231,0.23359968,0.232448266,-0.018087294,-0.000533429
2663,0.080484995,0.125968178,0.102841774,-0.510142174,-0.105117231,0.23359968,0.232448266,-0.018087294,-0.000533429
2664,0.080484995,0.125968178,0.102841774,-0.510142174,-0.105117231,0.23359968,0.232448266,-0.018087294,-0.000533429
2665,0.080484995,0.125968178,0.102841774,-0.510142174,-0.105117231,0.23359968,0.232448266,-0.018087294,-0.000533429
2666,0.080484995,0.125968178,0.102841774,-0.510142174,-0.105117231,0.23359968,0.232448266,-0.018087294,-0.000533429
2667,0.079896928,0.126022724,0.102396555,-0.506518496,-0.10474663,0.231647484,0.230733747,-0.017985675,-0.0005342
2668,0.079896928,0.126022724,0.102396555,-0.506518496,-0.10474663,0.231647484,0.230733747,-0.017985675,-0.0005342
2669,0.079896928,0.126022724,0.102396555,-0.506518496,-0.10474663,0.231647484,0.230733747,-0.017985675,-0.0005342
2670,0.079896928,0.126022724,0.102396555,-0.506518496,-0.10474663,0.231647484,0.230733747,-0.017985675,-0.0005342
2671,0.079896928,0.126022724,0.102396555,-0.506518496,-0.10474663,0.231647484,0.230733747,-0.017985675,-0.0005342
2672,0.079309935,0.126074798,0.101952808,-0.502896808,-0.10436727,0.229700277,0.229030322,-0.01788472,-0.000534969
2673,0.079309935,0.126074798,0.101952808,-0.502896808,-0.10436727,0.229700277,0.229030322,-0.01788472,-0.000534969
2674,0.079309935,0.126074798,0.101952808,-0.502896808,-0.10436727,0.229700277,0.229030322,-0.01788472,-0.000534969
2675,0.079309935,0.126074798,0.101952808,-0.502896808,-0.10436727,0.229700277,0.229030322,-0.01788472,-0.000534969
2676,0.079309935,0.126074798,0.101952808,-0.502896808,-0.10436727,0.229700277,0.229030322,-0.01788472,-0.000534969
2677,0.079309935,0.126074798,0.101952808,-0.502896808,-0.10436727,0.229700277,0.229030322,-0.01788472,-0.000534969
2678,0.078717825,0.126124049,0.101500862,-0.499241606,-0.103958045,0.22772297,0.227314086,-0.017782946,-0.000535739
2679,0.078717825,0.126124049,0.101500862,-0.499241606,-0.103958045,0.22772297,0.227314086,-0.017782946,-0.000535739
2680,0.078717825,0.126124049,0.101500862,-0.499241606,-0.103958045,0.22772297,0.227314086,-0.017782946,-0.000535739
2681,0.078717825,0.126124049,0.101500862,-0.499241606,-0.103958045,0.22772297,0.227314086,-0.017782946,-0.000535739
2682,0.078717825,0.126124049,0.101500862,-0.499241606,-0.103958045,0.22772297,0.227314086,-0.017782946,-0.000535739
2683,0.078127134,0.126170864,0.101051293,-0.495590009,-0.103542275,0.225753598,0.225610751,-0.017681951,-0.000536508
2684,0.078127134,0.126170864,0.101051293,-0.495590009,-0.103542275,0.225753598,0.225610751,-0.017681951,-0.000536508
2685,0.078127134,0.126170864,0.101051293,-0.495590009,-0.103542275,0.225753598,0.225610751,-0.017681951,-0.000536508
2686,0.078127134,0.126170864,0.101051293,-0.495590009,-0.103542275,0.225753598,0.225610751,-0.017681951,-0.000536508
2687,0.078127134,0.126170864,0.101051293,-0.495590009,-0.103542275,0.225753598,0.225610751,-0.017681951,-0.000536508
2688,0.077537785,0.12621524,0.100603829,-0.491941577,-0.103119273,0.223791272,0.223919817,-0.017581701,-0.000537276
2689,0.077537785,0.12621524,0.100603829,-0.491941577,-0.103119273,0.223791272,0.223919817,-0.017581701,-0.000537276
2690,0.077537785,0.12621524,0.100603829,-0.491941577,-0.103119273,0.223791272,0.223919817,-0.017581701,-0.000537276
2691,0.077537785,0.12621524,0.100603829,-0.491941577,-0.103119273,0.223791272,0.223919817,-0.017581701,-0.000537276
2692,0.077537785,0.12621524,0.100603829,-0.491941577,-0.103119273,0.223791272,0.223919817,-0.017581701,-0.000537276
2693,0.076949709,0.126257176,0.100158232,-0.488295901,-0.102688446,0.221835206,0.222240842,-0.01748217,-0.000538044
2694,0.076949709,0.126257176,0.100158232,-0.488295901,-0.102688446,0.221835206,0.222240842,-0.01748217,-0.000538044
2695,0.076949709,0.126257176,0.100158232,-0.488295901,-0.102688446,0.221835206,0.222240842,-0.01748217,-0.000538044
2696,0.076949709,0.126257176,0.100158232,-0.488295901,-0.102688446,0.221835206,0.222240842,-0.01748217,-0.000538044
2697,0.076949709,0.126257176,0.100158232,-0.488295901,-0.102688446,0.221835206,0.222240842,-0.01748217,-0.000538044
2698,0.07636284,0.12629667,0.099714295,-0.484652592,-0.102249276,0.21988471,0.220573433,-0.017383334,-0.000538812
2699,0.07636284,0.12629667,0.099714295,-0.484652592,-0.102249276,0.21988471,0.220573433,-0.017383334,-0.000538812
2700,0.07636284,0.12629667,0.099714295,-0.484652592,-0.102249276,0.21988471,0.220573433,-0.017383334,-0.000538812
2701,0.07636284,0.12629667,0.099714295,-0.484652592,-0.102249276,0.21988471,0.220573433,-0.017383334,-0.000538812
2702,0.07636284,0.12629667,0.099714295,-0.484652592,-0.102249276,0.21988471,0.220573433,-0.017383334,-0.000538812
2703,0.075777121,0.126333724,0.099271837,-0.481011286,-0.101801317,0.217939171,0.218917244,-0.01728517,-0.000539579
2704,0.075777121,0.126333724,0.099271837,-0.481011286,-0.101801317,0.217939171,0.218917244,-0.01728517,-0.000539579
2705,0.075777121,0.126333724,0.099271837,-0.481011286,-0.101801317,0.217939171,0.218917244,-0.01728517,-0.000539579
2706,0.075777121,0.126333724,0.099271837,-0.481011286,-0.101801317,0.217939171,0.218917244,-0.01728517,-0.000539579
2707,0.075777121,0.126333724,0.099271837,-0.481011286,-0.101801317,0.217939171,0.218917244,-0.01728517,-0.000539579
2708,0.075192496,0.126368338,0.0988307,-0.477371638,-0.101344182,0.21599805,0.217271966,-0.01718766,-0.000540345
2709,0.075192496,0.126368338,0.0988307,-0.477371638,-0.101344182,0.21599805,0.217271966,-0.01718766,-0.000540345
2710,0.075192496,0.126368338,0.0988307,-0.477371638,-0.101344182,0.21599805,0.217271966,-0.01718766,-0.000540345
2711,0.075192496,0.126368338,0.0988307,-0.477371638,-0.101344182,0.21599805,0.217271966,-0.01718766,-0.000540345
2712,0.075192496,0.126368338,0.0988307,-0.477371638,-0.101344182,0.21599805,0.217271966,-0.01718766,-0.000540345
2713,0.075192496,0.126368338,0.0988307,-0.477371638,-0.101344182,0.21599805,0.217271966,-0.01718766,-0.000540345
2714,0.074602787,0.126399925,0.098381432,-0.473697929,-0.100856229,0.214026633,0.215614678,-0.017089381,-0.000541112
2715,0.074602787,0.126399925,0.098381432,-0.473697929,-0.100856229,0.214026633,0.215614678,-0.017089381,-0.000541112
2716,0.074602787,0.126399925,0.098381432,-0.473697929,-0.100856229,0.214026633,0.215614678,-0.017089381,-0.000541112
2717,0.074602787,0.126399925,0.098381432,-0.473697929,-0.100856229,0.214026633,0.215614678,-0.017089381,-0.000541112
2718,0.074602787,0.126399925,0.098381432,-0.473697929,-0.100856229,0.214026633,0.215614678,-0.017089381,-0.000541112
2719,0.07401452,0.126429129,0.097934385,-0.470027487,-0.100361377,0.212062601,0.213970073,-0.016991866,-0.000541877
2720,0.07401452,0.126429129,0.097934385,-0.470027487,-0.100361377,0.212062601,0.213970073,-0.016991866,-0.000541877
2721,0.07401452,0.126429129,0.097934385,-0.470027487,-0.100361377,0.212062601,0.213970073,-0.016991866,-0.000541877
2722,0.07401452,0.126429129,0.097934385,-0.470027487,-0.100361377,0.212062601,0.213970073,-0.016991866,-0.000541877
2723,0.07401452,0.126429129,0.097934385,-0.470027487,-0.100361377,0.212062601,0.213970073,-0.016991866,-0.000541877
2724,0.073427618,0.126455945,0.097489312,-0.466359857,-0.099858988,0.21010513,0.212337697,-0.016895087,-0.000542643
2725,0.073427618,0.126455945,0.097489312,-0.466359857,-0.099858988,0.21010513,0.212337697,-0.016895087,-0.000542643
2726,0.073427618,0.126455945,0.097489312,-0.466359857,-0.099858988,0.21010513,0.212337697,-0.016895087,-0.000542643
2727,0.073427618,0.126455945,0.097489312,-0.466359857,-0.099858988,0.21010513,0.212337697,-0.016895087,-0.000542643
2728,0.073427618,0.126455945,0.097489312,-0.466359857,-0.099858988,0.21010513,0.212337697,-0.016895087,-0.000542643
2729,0.07284201,0.12648037,0.097045995,-0.462694614,-0.099348508,0.208153488,0.210717146,-0.016799018,-0.000543408
2730,0.07284201,0.12648037,0.097045995,-0.462694614,-0.099348508,0.208153488,0.210717146,-0.016799018,-0.000543408
2731,0.07284201,0.12648037,0.097045995,-0.462694614,-0.099348508,0.208153488,0.210717146,-0.016799018,-0.000543408
2732,0.07284201,0.12648037,0.097045995,-0.462694614,-0.099348508,0.208153488,0.210717146,-0.016799018,-0.000543408
2733,0.07284201,0.12648037,0.097045995,-0.462694614,-0.099348508,0.208153488,0.210717146,-0.016799018,-0.000543408
2734,0.07225763,0.126502401,0.096604246,-0.459031356,-0.098829455,0.206207032,0.209108064,-0.016703637,-0.000544172
2735,0.07225763,0.126502401,0.096604246,-0.459031356,-0.098829455,0.206207032,0.209108064,-0.016703637,-0.000544172
2736,0.07225763,0.126502401,0.096604246,-0.459031356,-0.098829455,0.206207032,0.209108064,-0.016703637,-0.000544172
2737,0.07225763,0.126502401,0.096604246,-0.459031356,-0.098829455,0.206207032,0.209108064,-0.016703637,-0.000544172
2738,0.07225763,0.126502401,0.096604246,-0.459031356,-0.098829455,0.206207032,0.209108064,-0.016703637,-0.000544172
2739,0.071674419,0.126522037,0.096163899,-0.455369706,-0.09830141,0.204265191,0.207510135,-0.016608925,-0.000544937
2740,0.071674419,0.126522037,0.096163899,-0.455369706,-0.09830141,0.204265191,0.207510135,-0.016608925,-0.000544937
2741,0.071674419,0.126522037,0.096163899,-0.455369706,-0.09830141,0.204265191,0.207510135,-0.016608925,-0.000544937
2742,0.071674419,0.126522037,0.096163899,-0.455369706,-0.09830141,0.204265191,0.207510135,-0.016608925,-0.000544937
2743,0.071674419,0.126522037,0.096163899,-0.455369706,-0.09830141,0.204265191,0.207510135,-0.016608925,-0.000544937
2744,0.07109232,0.126539278,0.095724808,-0.451709306,-0.097764007,0.202327461,0.205923081,-0.016514865,-0.0005457
2745,0.07109232,0.126539278,0.095724808,-0.451709306,-0.097764007,0.202327461,0.205923081,-0.016514865,-0.0005457
2746,0.07109232,0.126539278,0.095724808,-0.451709306,-0.097764007,0.202327461,0.205923081,-0.016514865,-0.0005457
2747,0.07109232,0.126539278,0.095724808,-0.451709306,-0.097764007,0.202327461,0.205923081,-0.016514865,-0.0005457
2748,0.07109232,0.126539278,0.095724808,-0.451709306,-0.097764007,0.202327461,0.205923081,-0.016514865,-0.0005457
2749,0.070511285,0.126554124,0.095286846,-0.44804982,-0.097216929,0.200393395,0.204346654,-0.01642144,-0.000546464
2750,0.070511285,0.126554124,0.095286846,-0.44804982,-0.097216929,0.200393395,0.204346654,-0.01642144,-0.000546464
2751,0.070511285,0.126554124,0.095286846,-0.44804982,-0.097216929,0.200393395,0.204346654,-0.01642144,-0.000546464
2752,0.070511285,0.126554124,0.095286846,-0.44804982,-0.097216929,0.200393395,0.204346654,-0.01642144,-0.000546464
2753,0.070511285,0.126554124,0.095286846,-0.44804982,-0.097216929,0.200393395,0.204346654,-0.01642144,-0.000546464
2754,0.069931266,0.126566575,0.094849904,-0.444390927,-0.096659899,0.198462597,0.202780639,-0.016328638,-0.000547227
2755,0.069931266,0.126566575,0.094849904,-0.444390927,-0.096659899,0.198462597,0.202780639,-0.016328638,-0.000547227
2756,0.069931266,0.126566575,0.094849904,-0.444390927,-0.096659899,0.198462597,0.202780639,-0.016328638,-0.000547227
2757,0.069931266,0.126566575,0.094849904,-0.444390927,-0.096659899,0.198462597,0.202780639,-0.016328638,-0.000547227
2758,0.069931266,0.126566575,0.094849904,-0.444390927,-0.096659899,0.198462597,0.202780639,-0.016328638,-0.000547227
2759,0.069931266,0.126566575,0.094849904,-0.444390927,-0.096659899,0.198462597,0.202780639,-0.016328638,-0.000547227
2760,0.069346134,0.126575753,0.094404841,-0.440696725,-0.096070672,0.19650097,0.201203482,-0.016235123,-0.000547989
2761,0.069346134,0.126575753,0.094404841,-0.440696725,-0.096070672,0.19650097,0.201203482,-0.016235123,-0.000547989
2762,0.069346134,0.126575753,0.094404841,-0.440696725,-0.096070672,0.19650097,0.201203482,-0.016235123,-0.000547989
2763,0.069346134,0.126575753,0.094404841,-0.440696725,-0.096070672,0.19650097,0.201203482,-0.016235123,-0.000547989
2764,0.069346134,0.126575753,0.094404841,-0.440696725,-0.096070672,0.19650097,0.201203482,-0.016235123,-0.000547989
2765,0.06876238,0.12658262,0.093961714,-0.437004779,-0.095473895,0.194545687,0.199638515,-0.01614234,-0.000548751
2766,0.06876238,0.12658262,0.093961714,-0.437004779,-0.095473895,0.194545687,0.199638515,-0.01614234,-0.000548751
2767,0.06876238,0.12658262,0.093961714,-0.437004779,-0.095473895,0.194545687,0.199638515,-0.01614234,-0.000548751
2768,0.06876238,0.12658262,0.093961714,-0.437004779,-0.095473895,0.194545687,0.199638515,-0.01614234,-0.000548751
